Province_State,Country_Region,Lat,Long_
Hubei,Mainland China,30.9756,112.2707
,South Korea,36.0,128.0
,Italy,43.0,12.0
Guangdong,Mainland China,23.3417,113.4244
Henan,Mainland China,33.882,113.61399999999999
Zhejiang,Mainland China,29.1832,120.0934
Hunan,Mainland China,27.6104,111.7088
Anhui,Mainland China,31.8257,117.2264
,Iran,32.0,53.0
Jiangxi,Mainland China,27.614,115.7221
Shandong,Mainland China,36.3427,118.1498
Diamond Princess cruise ship,Others,35.4437,139.638
Jiangsu,Mainland China,32.9711,119.455
Chongqing,Mainland China,30.0572,107.874
Sichuan,Mainland China,30.6171,102.7103
Heilongjiang,Mainland China,47.861999999999995,127.7615
Beijing,Mainland China,40.1824,116.4142
Shanghai,Mainland China,31.201999999999998,121.4491
Hebei,Mainland China,38.0428,114.5149
Fujian,Mainland China,26.0789,117.9874
,Japan,36.0,138.0
Guangxi,Mainland China,23.8298,108.7881
Shaanxi,Mainland China,35.1917,108.8701
Yunnan,Mainland China,24.974,101.48700000000001
Hainan,Mainland China,19.1959,109.7453
Guizhou,Mainland China,26.8154,106.8748
Tianjin,Mainland China,39.3054,117.323
Shanxi,Mainland China,37.5777,112.2922
,France,47.0,2.0
,Germany,51.0,9.0
Liaoning,Mainland China,41.2956,122.6085
,Singapore,1.2833,103.8333
Hong Kong,Hong Kong,22.3,114.2
Jilin,Mainland China,43.6661,126.1923
Gansu,Mainland China,36.0611,103.8343
,Spain,40.0,-4.0
Xinjiang,Mainland China,41.1129,85.2401
Inner Mongolia,Mainland China,44.0935,113.9448
Ningxia,Mainland China,37.2692,106.1655
,Bahrain,26.0275,50.55
,Kuwait,29.5,47.75
Unassigned Location (From Diamond Princess),US,35.4437,139.638
,Thailand,15.0,101.0
Taiwan,Taiwan,23.7,121.0
,UK,55.0,-3.0
,Malaysia,2.5,112.5
,Switzerland,46.8182,8.2275
,United Arab Emirates,24.0,54.0
,Iraq,33.0,44.0
,Norway,60.472,8.4689
Qinghai,Mainland China,35.7452,95.9956
,Vietnam,16.0,108.0
,Austria,47.5162,14.5501
"Toronto, ON",Canada,43.6532,-79.3832
,Sweden,63.0,16.0
,Israel,31.0,35.0
,Lebanon,33.8547,35.8623
Macau,Macau,22.1667,113.55
,Netherlands,52.1326,5.2913
Queensland,Australia,-28.0167,153.4
"Seattle, WA",US,47.6062,-122.3321
British Columbia,Canada,49.2827,-123.1207
Victoria,Australia,-37.8136,144.9631
,Croatia,45.1,15.2
,Greece,39.0742,21.8243
New South Wales,Australia,-33.8688,151.2093
,Ecuador,-1.8312,-78.1834
,Finland,64.0,26.0
,Oman,21.0,57.0
,Mexico,23.0,-102.0
,Denmark,56.2639,9.5018
,Pakistan,30.3753,69.3451
South Australia,Australia,-34.9285,138.6007
,Azerbaijan,40.1431,47.5769
,Czech Republic,49.8175,15.472999999999999
,Georgia,42.3154,43.3569
,Iceland,64.9631,-19.0208
,India,21.0,78.0
,Philippines,13.0,122.0
,Qatar,25.3548,51.1839
,Romania,45.9432,24.9668
"Chicago, IL",US,41.8781,-87.6298
"Santa Clara, CA",US,37.3541,-121.9552
Western Australia,Australia,-31.9505,115.8605
,Belgium,50.8333,4.0
,Brazil,-14.235,-51.9253
,Egypt,26.0,30.0
,Russia,60.0,90.0
"Sacramento County, CA",US,38.4747,-121.3542
"San Benito, CA",US,36.5761,-120.9876
"San Diego County, CA",US,32.7157,-117.1611
"Snohomish County, WA",US,48.033,-121.8339
,Afghanistan,33.0,65.0
,Algeria,28.0339,1.6596
,Armenia,40.0691,45.0382
,Belarus,53.7098,27.9534
,Cambodia,11.55,104.9167
" Montreal, QC",Canada,45.5017,-73.5673
"London, ON",Canada,42.9849,-81.2453
,Dominican Republic,18.7357,-70.1627
,Estonia,58.5953,25.0136
,Ireland,53.1424,-7.6921
,Lithuania,55.1694,23.8813
,Luxembourg,49.8153,6.1296
Tibet,Mainland China,31.6927,88.0924
,Monaco,43.7333,7.4167
,Nepal,28.1667,84.25
,New Zealand,-40.9006,174.886
,Nigeria,9.082,8.6753
,North Macedonia,41.6086,21.7453
,San Marino,43.9424,12.4578
,Sri Lanka,7.0,81.0
"Boston, MA",US,42.3601,-71.0589
"Humboldt County, CA",US,40.745,-123.8695
"Los Angeles, CA",US,34.0522,-118.2437
"Madison, WI",US,43.0731,-89.4012
"Orange, CA",US,33.7879,-117.8531
"Portland, OR",US,45.5051,-122.675
"Providence, RI",US,41.824,-71.4128
"San Antonio, TX",US,29.4241,-98.4936
"Tempe, AZ",US,33.4255,-111.94
From Diamond Princess,Australia,35.4437,139.638
"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134
"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758
"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399
"King County, WA",US,47.548,-121.9836
"Cook County, IL",US,41.7377,-87.6976
,Indonesia,-0.7893,113.9213
,Portugal,39.3999,-8.2245
,Andorra,42.5063,1.5218
Tasmania,Australia,-41.4545,145.9707
,Latvia,56.8796,24.6032
,Morocco,31.7917,-7.0926
,Saudi Arabia,24.0,45.0
,Senegal,14.4974,-14.4524
"Grafton County, NH",US,43.9088,-71.82600000000001
"Hillsborough, FL",US,27.9904,-82.3018
"New York City, NY",US,40.7128,-74.006
"Placer County, CA",US,39.0916,-120.8039
"San Mateo, CA",US,37.563,-122.3255
"Sarasota, FL",US,27.3364,-82.5307
"Sonoma County, CA",US,38.578,-122.9888
"Umatilla, OR",US,45.775,-118.7606
,Croatia,45.1667,15.5
,Romania,46.0,25.0
"Fulton County, GA",US,33.8034,-84.3963
"Washington County, OR",US,45.547,-123.1386
,Argentina,-38.4161,-63.6167
,Chile,-35.6751,-71.543
,Jordan,31.24,36.51
,Luxembourg,49.8144,6.1317
" Norfolk County, MA",US,42.1767,-71.1449
"Berkeley, CA",US,37.8715,-122.273
"Maricopa County, AZ",US,33.2918,-112.4291
"Wake County, NC",US,35.8032,-78.5661
"Westchester County, NY",US,41.122,-73.7949
,Ukraine,48.3794,31.1656
,Saint Barthelemy,17.9,-62.8333
"Orange County, CA",US,33.7879,-117.8531
,Hungary,47.1625,19.5033
Northern Territory,Australia,-12.4634,130.8456
,Faroe Islands,61.8926,-6.9118
,Gibraltar,36.1408,-5.3536
,Liechtenstein,47.14,9.55
,Poland,51.9194,19.1451
,Tunisia,34.0,9.0
"Contra Costa County, CA",US,37.8534,-121.9018
,Palestine,31.9522,35.2332
,Bosnia and Herzegovina,43.9159,17.6791
,Slovenia,46.1512,14.9955
"Bergen County, NJ",US,40.9263,-74.077
"Harris County, TX",US,29.7752,-95.3103
"San Francisco County, CA",US,37.7749,-122.4194
,South Africa,-30.5595,22.9375
"Clark County, NV",US,36.0796,-115.094
"Fort Bend County, TX",US,29.5693,-95.8143
"Grant County, WA",US,47.1981,-119.3732
"Queens County, NY",US,40.7282,-73.7949
"Santa Rosa County, FL",US,30.769000000000002,-86.9824
"Williamson County, TN",US,35.9179,-86.8622
"New York County, NY",US,40.7128,-74.006
"Unassigned Location, WA",US,47.7511,-120.7401
"Montgomery County, MD",US,39.1547,-77.2405
"Suffolk County, MA",US,42.3601,-71.0589
"Denver County, CO",US,39.7392,-104.9903
"Summit County, CO",US,39.5912,-106.064
,Bhutan,27.5142,90.4336
,Cameroon,3.8480000000000003,11.5021
